Id,Brand,Category,Name,Rating,Gender,Notes,Recommended Time,Year,Perfume Url
1,Dolce & Gabbana,eau de toilette,D & G Light Blue,4.847,women,"Apple, Cedar, Bellflower, Sicilian lemon, White rose",casual,2001,https://www.fragrancenet.com/perfume/dolce-and-gabbana/d-and-g-light-blue/edt#120682
2,Giorgio Armani,eau de toilette,Acqua Di Gio,4.872,men,"Orange, Lime, Jasmine, Bergamot, Neroli",casual,1996,https://www.fragrancenet.com/cologne/giorgio-armani/acqua-di-gio/edt#126343
3,Davidoff,eau de toilette,Cool Water,4.682,men,"Rosemary, Mint, Sandalwood, Lavender, Cedar",daytime,2016,https://www.fragrancenet.com/cologne/davidoff/cool-water/edt#115948
4,Juicy Couture,eau de parfum,Viva La Juicy,4.781,women,"Mandarin orange, Wild berries, Honeysuckle, Gardenia, Jasmine",casual,2008,https://www.fragrancenet.com/perfume/juicy-couture/viva-la-juicy/eau-de-parfum#164023
5,Calvin Klein,eau de toilette,Eternity,4.719,men,"Lavender, Mandarin orange, Bergamot, Lemon, Coriander",daytime,1990,https://www.fragrancenet.com/cologne/calvin-klein/eternity/edt#121737
6,Gianni Versace,eau de toilette,Versace Eros,4.814,men,"Mint, Green apple, Lemon, Tonka bean, Geranium",,2012,https://www.fragrancenet.com/cologne/gianni-versace/versace-eros/edt#232011
7,Mont Blanc,eau de toilette,Mont Blanc Legend,4.789,men,"Lavender, Bergamot, Lemon Verbena, Pineapple, Coumarin",casual,2011,https://www.fragrancenet.com/cologne/mont-blanc/mont-blanc-legend/edt#209257
8,Calvin Klein,eau de parfum,Eternity,4.9,women,"Freesia, Mandarin, Sage, Muguet, White lily",daytime,1988,https://www.fragrancenet.com/perfume/calvin-klein/eternity/eau-de-parfum#117740
9,Calvin Klein,eau de toilette,Ck One,4.794,unisex,"Pineapple, Mandarin orange, Papaya, Bergamot, Cardamom",daytime,1994,https://www.fragrancenet.com/fragrances/calvin-klein/ck-one/edt#115760
10,Calvin Klein,eau de toilette,Obsession,4.785,men,"Coriander, Lavender, Mandarin orange, Grapefruit, Bergamot",daytime,1986,https://www.fragrancenet.com/cologne/calvin-klein/obsession/edt#115979
