Id,Review,Rating
1,Love this perfume!! Love your prices I'll continue to shop with this company ,5
1,"The eternity is the only one I bought and I love the fragrance was mild, the perfect one for some one who doesn't like fruit smell",5
1,This is the best smelling perfume ever! BEST PERFUME EVER:),5
1,Great product for a great price,5
1,"D & G Light Blue by Dolce & Gabbana Very fresh and pleasant citrus smell, I keep it in my car, great for any occasion.",5
2,The best! Period. I have many different colognes but this is by far my most used. I have had many compliments from many women and men on what I’m wearing. Best use is during a hot summer day. For the price I can’t see anyone regretting this purchase. Will buy again soon! ,4
2,Wasn't sure if this was one I have used in the past. WOW I forgot how great it smells . I love the fresh clean citrus hint really nice.,5
2,"satisfied with its aroma. Luxurious, elegant but generous and delicate to talk about Acqua Di Gio Aromatherapy lingers for many hours with different moments. create a feeling of comfort and confidence. Should experience this product to create a style for yourself.",5
2,"satisfied with its aroma. Luxurious, elegant but generous and delicate to talk about Acqua Di Gio Aromatherapy lingers for many hours with different moments. create a feeling of comfort and confidence. Should experience this product to create a style for yourself.",5
2,"Less price beautiful scent,Love it and thank you.",5
3,"This s my first order with u and I'm very, pleased with everything including the COOL WATER Thanks .",4
3,"I purchased Davidoff Cool Water it was included in my first purchase ever. I chanecked the batch number and its only a year old. It's authenticate cologne and i must admit i was really skeptical at first, but its the real deal holy field. Very happy. im ordering again and have a cart of $180 so far, cant beat these deals!",5
3,This is a real good price.,5
3,Fast shipping Cheapest price! I love this site!!!,5
3,"Great product , nice scent",5
4,Thanks Fragrancenet you have a lot Perfume i order Viva La Juicy smeel so good and the delivery was soon then was suppose to be,5
4,"Viva la Juicy has a sweet smell, good for daytime. ",4
4,I first bought Viva La Juicy at a stop when we were on a cruise probably fifteen years ago and have been using it ever since!! Love the clean scent.,5
4,"Viva la Juicy by Juicy Couture is one of my favorites. I haven't worn it about 2yrs as I was trying out other fragrances. This perfume has a fresh, fruity and clean scent....PERFECT!!!!",5
4,it is a perfec product,5
5,"Enternity for men is very refreshing,crisp and pleasant. ",5
5,Love the scent - the size of the bottle & the price. Thanks Fragrance ;),5
5,"The Eternity by Calvin Klein has a very masculine, classic scent. Although, it doesn't last long on my skin at least and doesn't diffuse much. Never had anybody asking what cologne I'm wearing with this on myself, so there you go!",3
5,LOVE IT! SMELLS SO GOOD,5
5,Eternity makes me feel Nausea ? I purchased the wrong scent meant to purchase Eternity Intense . ,2
